Source IP,Source Port,Destination IP,Destination Port,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Predicted_Label
192.168.12.140,53150,192.168.12.146,80,04/08/2024 11:53:48 AM,4700,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.531914893617,4700.0,0.0,4700.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,212.7659574468085,212.7659574468085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53160,192.168.12.146,80,04/08/2024 11:53:48 AM,4300,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.1162790697674,4300.0,0.0,4300.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,232.5581395348837,232.5581395348837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53198,192.168.12.146,80,04/08/2024 11:53:48 AM,13288,2,5,352.0,634.0,352.0,0.0,176.0,248.90158697766472,634.0,0.0,126.8,283.53341954697333,74202.28777844673,526.791089704997,2214.666666666667,5090.3102328509085,12601.0,33.0,422.0,422.0,0.0,422.0,422.0,13288.0,3322.0,6190.999650029603,12601.0,33.0,0,0,0,0,64,176,150.51173991571343,376.2793497892836,0.0,634.0,123.25,240.3377088301257,57762.21428571428,0,1,0,0,0,0,0,0,2.0,140.85714285714286,176.0,126.8,0,0,0,0,0,0,2,352,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53174,192.168.12.146,80,04/08/2024 11:53:48 AM,4081,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0759617740749,4081.0,0.0,4081.0,4081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,245.03798088703743,245.03798088703743,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53186,192.168.12.146,80,04/08/2024 11:53:48 AM,2999,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.8889629876626,2999.0,0.0,2999.0,2999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,333.4444814938313,333.4444814938313,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53198,192.168.12.146,80,04/08/2024 11:53:48 AM,1506,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0212483399737,1506.0,0.0,1506.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,664.0106241699867,664.0106241699867,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53296,192.168.12.146,80,04/08/2024 11:53:48 AM,2821,2,5,341.0,634.0,341.0,0.0,170.5,241.1234123846127,634.0,0.0,126.8,283.53341954697333,345622.1198156682,2481.389578163772,470.1666666666667,1014.2998406125612,2540.0,20.0,68.0,68.0,0.0,68.0,68.0,2821.0,705.25,1225.3384226408637,2540.0,20.0,0,0,0,0,64,176,708.9684509039347,1772.4211272598368,0.0,634.0,121.875,238.86902418330783,57058.4107142857,0,1,0,0,0,0,0,0,2.0,139.28571428571428,170.5,126.8,0,0,0,0,0,0,2,341,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53296,192.168.12.146,80,04/08/2024 11:53:48 AM,525,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.5238095238096,525.0,0.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1904.7619047619048,1904.7619047619048,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53262,192.168.12.146,80,04/08/2024 11:53:48 AM,5466,3,5,323.0,634.0,323.0,0.0,107.66666666666666,186.48413694824916,634.0,0.0,126.8,283.53341954697333,175082.32711306255,1463.593121112331,780.8571428571428,1239.564362800016,2751.0,12.0,5319.0,2659.5,129.4005409571382,2751.0,2568.0,5466.0,1366.5,1509.089902336283,2897.0,28.0,0,0,0,0,96,176,548.847420417124,914.7457006952068,0.0,634.0,106.33333333333331,224.86773890445025,50565.49999999999,0,1,0,0,0,0,0,0,1.0,119.625,107.66666666666669,126.8,0,0,0,0,0,0,3,323,5,634,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,BENIGN
192.168.12.140,53300,192.168.12.146,80,04/08/2024 11:53:48 AM,7143,3,6,350.0,17647.0,350.0,0.0,116.66666666666666,202.07259421636903,7240.0,0.0,2941.1666666666665,3548.5862208303,2519529.609407812,1259.97480050399,892.875,1626.804355389512,4742.0,2.0,6946.0,3473.0,3306.431308828296,5811.0,1135.0,7143.0,1428.6,1942.8285565123856,4742.0,2.0,0,0,0,0,96,208,419.99160016799664,839.9832003359933,0.0,7240.0,1799.7,3029.455178374121,9177598.677777776,0,1,0,0,0,0,0,0,2.0,1999.6666666666667,116.66666666666669,2941.1666666666665,0,0,0,0,0,0,3,350,6,17647,-1,507,1,0,0,0,0,0,0,0,0,0,No Label,DoS Attack
