Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.12.140-192.168.12.146-49288-80-6,192.168.12.146,80,192.168.12.140,49288,6,28/07/2024 02:43:30 PM,60,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,1.0566666666666666E7,33333.333333333336,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,16666.666666666668,16666.666666666668,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49300-80-6,192.168.12.146,80,192.168.12.140,49300,6,28/07/2024 02:43:30 PM,76,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,8342105.263157894,26315.78947368421,76.0,0.0,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,13157.894736842105,13157.894736842105,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49316-80-6,192.168.12.146,80,192.168.12.140,49316,6,28/07/2024 02:43:30 PM,110,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,5763636.363636363,18181.81818181818,110.0,0.0,110.0,110.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,9090.90909090909,9090.90909090909,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49314-80-6,192.168.12.146,80,192.168.12.140,49314,6,28/07/2024 02:43:30 PM,519,5,6,10407.0,7240.0,5792.0,0.0,2081.4,2338.3205083991375,7240.0,0.0,1206.6666666666665,2955.7176229583683,3.40019267822736E7,21194.60500963391,51.9,26.312016688620094,91.0,1.0,441.0,110.25,49.19603642571219,160.0,66.0,461.0,92.2,74.0655115421476,198.0,1.0,0,1,0,0,160,192,9633.911368015413,11560.693641618496,0.0,7240.0,2073.9166666666665,2965.7704336565757,8795794.265151514,0,0,0,1,1,0,0,0,1.0,2262.4545454545455,2081.4,1206.6666666666667,0,0,0,0,0,0,5,10407,6,7240,-1,414,4,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49286-80-6,192.168.12.140,49286,192.168.12.146,80,6,28/07/2024 02:43:30 PM,5599,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.2066440435792,5599.0,0.0,5599.0,5599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,178.6033220217896,178.6033220217896,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49316-80-6,192.168.12.140,49316,192.168.12.146,80,6,28/07/2024 02:43:30 PM,4813,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.54124246831503,4813.0,0.0,4813.0,4813.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,207.77062123415752,207.77062123415752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49300-80-6,192.168.12.140,49300,192.168.12.146,80,6,28/07/2024 02:43:30 PM,6458,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.6934035305048,6458.0,0.0,6458.0,6458.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,154.8467017652524,154.8467017652524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49330-80-6,192.168.12.146,80,192.168.12.140,49330,6,28/07/2024 02:43:30 PM,87,1,1,0.0,634.0,0.0,0.0,0.0,0.0,634.0,634.0,634.0,0.0,7287356.32183908,22988.505747126437,87.0,0.0,87.0,87.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,11494.252873563219,11494.252873563219,0.0,634.0,422.66666666666663,366.04007066622273,133985.33333333334,0,0,0,1,1,0,0,0,1.0,634.0,0.0,634.0,0,0,0,0,0,0,1,0,1,634,-1,507,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49330-80-6,192.168.12.140,49330,192.168.12.146,80,6,28/07/2024 02:43:30 PM,531,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3766.478342749529,531.0,0.0,531.0,531.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1883.2391713747645,1883.2391713747645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.12.140-192.168.12.146-49282-80-6,192.168.12.140,49282,192.168.12.146,80,6,28/07/2024 02:43:30 PM,8456,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.51844843897825,8456.0,0.0,8456.0,8456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,118.25922421948913,118.25922421948913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
